~id;name; batch;unit;categorie;PA;PV;TxMO;label;product_code;Qty_production
v232;Pain Mais;8;pcs;PAIN;;4;;PF;1204;3
v235;Couronne Aperitive;9;pcs;PAIN;;3.9;;PF;1212;9
v240;Tradition cereales;40;pcs;PAIN;;1.4;;PF;1106;40
v243;Pain Sarrasin;5;pcs;PAIN;;4;;PF;1208;5
v254;Tradition noix;5;pcs;PAIN;;1.4;;PF;1201;5
v256;Pave de Tradition;20;pcs;PAIN;;1.5;;PF;1110;20
v257;Focaccia nature;6;pcs;PAIN;;10;;PF;1210;6
v260;Focaccia tomate olive;6;pcs;PAIN;;11;;PF;1213;6
v261;Focaccia parmesan herbe de provence;6;pcs;PAIN;;11;;PF;1214;6
v262;Oranais;20;pcs;VIENNOISERIE;;1.95;;PF;2116;20
v263;Escargot Pralines;40;pcs;VIENNOISERIE;;1.75;;PF;2130;40
v264;Palmier;30;pcs;VIENNOISERIE;;2.2;;PF;2131;30
v265;Brioche aux pralines;10;pcs;VIENNOISERIE;;1.5;;PF;2132;10
v266;Muffin Chocolat;30;pcs;PATISSERIE;;2.15;;PF;3110;30
v268;Muffin Pepites Chocolat;30;pcs;PATISSERIE;;2.15;;PF;3111;30
